09:41:21.148  异常信息：未将对象引用设置到对象的实例。
  堆栈信息:   在 FishClient.UserManager.SaveUser(PersonEntity user) 位置 D:\练习\FishSolution - 副本\FishClient\UserManager.cs:行号 133
12:02:38.153  异常信息：未将对象引用设置到对象的实例。
  堆栈信息:   在 FishClient.UserManager.SaveUser(PersonEntity user) 位置 D:\练习\FishSolution - 副本\FishClient\UserManager.cs:行号 133
12:07:20.737  异常信息：未将对象引用设置到对象的实例。
  堆栈信息:   在 FishClient.UserManager.SaveUser(PersonEntity user) 位置 D:\练习\FishSolution - 副本\FishClient\UserManager.cs:行号 133
12:11:50.541  异常信息：未将对象引用设置到对象的实例。
  堆栈信息:   在 FishClient.UserManager.SaveUser(PersonEntity user) 位置 D:\练习\FishSolution - 副本\FishClient\UserManager.cs:行号 133
12:19:13.010  异常信息：未将对象引用设置到对象的实例。
  堆栈信息:   在 FishClient.UserManager.SaveUser(PersonEntity user) 位置 D:\练习\FishSolution - 副本\FishClient\UserManager.cs:行号 133
12:25:54.700  异常信息：未将对象引用设置到对象的实例。
  堆栈信息:   在 FishClient.UserManager.SaveUser(PersonEntity user) 位置 D:\练习\FishSolution - 副本\FishClient\UserManager.cs:行号 133
12:27:57.194  异常信息：未将对象引用设置到对象的实例。
  堆栈信息:   在 FishClient.UserManager.SaveUser(PersonEntity user) 位置 D:\练习\FishSolution - 副本\FishClient\UserManager.cs:行号 133
12:32:44.764  异常信息：未将对象引用设置到对象的实例。
  堆栈信息:   在 FishClient.UserManager.SaveUser(PersonEntity user) 位置 D:\练习\FishSolution - 副本\FishClient\UserManager.cs:行号 133
12:34:02.324  异常信息：未将对象引用设置到对象的实例。
  堆栈信息:   在 FishClient.UserManager.SaveUser(PersonEntity user) 位置 D:\练习\FishSolution - 副本\FishClient\UserManager.cs:行号 133
